from,to,rel_label,description,role,technologies,year,abbreviation,date
Nokia,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,FI,2024-02-27
Samsung Electronics,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,KR,2024-02-27
Microsoft,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,US,2024-02-27
T-Mobile US,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,JP,2024-02-27
SoftBank Group,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,GB,2024-02-27
ARM,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,US,2024-02-27
NVIDIA,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,US,2024-02-27
AWS,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,US,2024-02-27
NorthEastern University,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Academia,,2024.0,US,2024-02-27
DeepSig Inc.,AI RAN Alliance,PROJECT,"The group’s mission is to enhance mobile network efficiency, reduce power consumption and retrofit existing infrastructure, with the aim of paving the way for unlocking new economic opportunities for telecommunications companies with AI, facilitated by 5G and future 6G systems.

Alliance members plan to collaborate to advance RAN capabilities through AI, to improve spectral efficiency as well as to integrate AI and RAN processes to utilize infrastructure more effectively and generate new AI-driven revenue opportunities.

The partners will also seek to deploy AI services at the network edge through RAN to increase operational efficiency and offer new services to mobile users.",Commercial,,2024.0,US,2024-02-27
US Government,6G Innovation Day,EVENT,"Linux Foundation and US Government to Host ""6G Innovation Day"" at ONE Summit in Silicon Valley on Open Source, Open RAN and AI Efforts",Government,,2024.0,US,2024-05-01
Linux Foundation,6G Innovation Day,EVENT,"Linux Foundation and US Government to Host ""6G Innovation Day"" at ONE Summit in Silicon Valley on Open Source, Open RAN and AI Efforts",Association,,2024.0,US,2024-05-01
NVIDIA,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,US,2024-03-18
Ansys,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,US,2024-03-18
Keysight Technologies,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,US,2024-03-18
Samsung,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,KR,2024-03-18
ARM,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,GB,2024-03-18
ETH Zurich,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Academia,,2024.0,CH,2024-03-18
Nokia,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,FI,2024-03-18
NorthEastern University,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Academia,,2024.0,US,2024-03-18
Rhode & Schwarz,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,DE,2024-03-18
SoftBank Group,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,JP,2024-03-18
Viavi,NVIDIA 6G Research Cloud platform,PROJECT,NVIDIA Unveils 6G Research Cloud Platform to Advance Wireless Communications With AI,Commercial,,2024.0,US,2024-03-18
Imperial College London,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
Cranfield University,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
Durham University,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
Glasgow University,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
Leeds University,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
University of York,CHEDDAR,PROJECT,"“CHEDDAR will develop cross-disciplinary innovations across 12 exciting research projects in the thematic areas of 6G: emergent, sustainable, and human-centric systems. It will conduct fundamental research and integrate new technologies into 6G spanning Intelligence-as-a-service, to trustworthy AI, to integrated sensing and communications.

“Along with the other hubs and the UK national 6G infrastructure fund (JOINER), we expect to make serious impact in critical application areas such as autonomous transport, meta-verse, and cybersecurity.”

The CHEDDAR Hub is being led by Imperial College London, and its core partner universities include the Universities of Cranfield, Durham, Glasgow, Leeds, and York.",Academia,,2023.0,GB,2023-03-02
University of Bristol,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
University of Oxford,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
University of Southampton,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
Imperial College London,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Government,,2023.0,GB,2023-12-01
Digital Catapult,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
University of Cambridge,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
Leeds University,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
Glasgow University,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
Queens University Belfast,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
Cranfield University,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
University College London,JOINER,PROJECT,"JOINER is the UK's first national accelerator programme towards 6G and beyond. It is a national R&D platform interconnecting academic institutes, research labs and industrial partners to enable innovation within a collaborative experimental environment. Bridging the gap between experimenters, services and equipment, the JOINER fabric is a dedicated transport network interconnecting all JOINER terminals across the UK while a multi-tenancy hybrid cloud platform enables end-to-end service provision.",Academia,,2023.0,GB,2023-12-01
US Department of Defense (DoD),"Spectrum Sharing ""Moonshot""",PROJECT,"DoD, NTIA set for a spectrum-sharing ‘moonshot’",Government,,2024.0,US,2024-04-08
NTIA,"Spectrum Sharing ""Moonshot""",PROJECT,"DoD, NTIA set for a spectrum-sharing ‘moonshot’",Government,,2024.0,US,2024-04-08
Nokia,Open RAN for 6G,PROJECT,KT and Nokia agreed to collaborate on developing advanced Open RAN technology for 6G mobile communications,Commercial,,2024.0,KR,2024-05-13
Korea Telecom,Open RAN for 6G,PROJECT,KT and Nokia agreed to collaborate on developing advanced Open RAN technology for 6G mobile communications,Commercial,,2024.0,FI,2024-05-13
ULAK Communications Inc,6G Lab (Turkiye),PROJECT,ULAK Inc. to set up 6G research lab with TÜBİTAK's backing ,Commercial,,2024.0,TR,2024-04-29
Scientific and Technological Research Council of Türkiye (TÜBİTAK),6G Lab (Turkiye),PROJECT,ULAK Inc. to set up 6G research lab with TÜBİTAK's backing ,Government,,2024.0,TR,2024-04-29
Korea Telecom,Nokia-KT 6G Partnership,MOU,KT to join hands with Nokia for 6G research ,Commercial,O-RAN | UWB,2024.0,KR,2024-05-08
Nokia,Nokia-KT 6G Partnership,MOU,KT to join hands with Nokia for 6G research ,Commercial,O-RAN | UWB,2024.0,FI,2024-05-08
SK Telecom,SK Telecom Singtel 6G MoU,MOU,SK Telecom and Singtel partner to develop next-generation telco technology and solutions,Commercial,,2024.0,KR,2024-07-08
Singtel,SK Telecom Singtel 6G MoU,MOU,SK Telecom and Singtel partner to develop next-generation telco technology and solutions,Commercial,,2024.0,SG,2024-07-08
University of Sheffield,UK National 6G Radio Systems Facility,PROJECT,"The 6G facility was developed in partnership with Keysight and is based on Keysight instruments and software

The University of Sheffield announced the launch of the “National 6G Radio Systems Facility” in the city of Sheffield, which aims to support the U.K. in becoming a world leader in the 6G field.

Funded by the Engineering and Physical Sciences Research Council (EPSRC), the new facility will play a key role in driving innovation in 6G by bringing together academics and industrial partners and giving them the specialty equipment needed to collaborate and develop future 6G solutions, the University of Sheffield said.

The new national center is based in the University’s School of Electrical and Electronic Engineering.",Academia,,2024.0,GB,2024-07-10
Keysight Technologies,UK National 6G Radio Systems Facility,PROJECT,"The 6G facility was developed in partnership with Keysight and is based on Keysight instruments and software

The University of Sheffield announced the launch of the “National 6G Radio Systems Facility” in the city of Sheffield, which aims to support the U.K. in becoming a world leader in the 6G field.

Funded by the Engineering and Physical Sciences Research Council (EPSRC), the new facility will play a key role in driving innovation in 6G by bringing together academics and industrial partners and giving them the specialty equipment needed to collaborate and develop future 6G solutions, the University of Sheffield said.

The new national center is based in the University’s School of Electrical and Electronic Engineering.",Commercial,,2024.0,US,2024-07-10
Beijing University of Posts and Telecommunications,China Field Test Network,PROJECT,"China developed the world's first 6G field test network that integrates communications and intelligence, demonstrating that the transmission capabilities of 6G can be reached on 4G and 5G technologies.

The breakthrough was led by Zhang Ping, an academician of the Chinese Academy of Engineering and a professor at the Beijing University of Posts and Telecommunications.

The team has successfully built the world's first 6G field test network integrating communications and intelligence, allowing deeper integration of communication with artificial intelligence.

This network has also validated the feasibility of 4G and 5G links having 6G transmission capabilities, with significant improvements in capacity, coverage, and efficiency, the team said.",Academia,,2024.0,CN,2024-07-11
6G Flagship,6G Flagship Bharat 6G MoU,MOU,6G Flagship and Bharat 6G Alliance sign MoU to advance global 6G development,Association,,2024.0,FI,2024-06-21
Bharat 6G Alliance (B6GA),6G Flagship Bharat 6G MoU,MOU,6G Flagship and Bharat 6G Alliance sign MoU to advance global 6G development,Association,,2024.0,IN,2024-06-21
Mediatek,MediaTek SUTD MoU,MOU,MediaTek and Singapore University of Technology and Design (SUTD) sign MoU on 6G Technology Research Collaboration ,Commercial,,2024.0,,2024-06-26
Singapore University of Technology and Design (SUTD) ,MediaTek SUTD MoU,MOU,MediaTek and Singapore University of Technology and Design (SUTD) sign MoU on 6G Technology Research Collaboration ,Academia,,2024.0,SG,2024-06-26
S. Korea Ministry of Science and ICT,Korea 6G Society,PROJECT,"South Korea Launches '6G Society' for Mobile-Satellite Innovation. At present, the ‘6G Forum’ and ‘Satellite Communications Forum’ function independently, aligning with their own market segments and technology areas of interest. The ‘6G Society’ will function as a bilateral advisory group, promoting collaboration by exchanging information on standardization trends and deliberating on initiatives for collaborative technology development. During the launch event, notable industry figures including Kim Dae Jung, Director of the Telecommunications Technology Association (TTA), delivered talks. Kim Dae Jung's presentation offered insights into global advancements in standardizing 6G technology.

Furthermore, Choi Seong Ho from the Institute of Information & Communications Technology Planning & Evaluation (IITP) shared significant updates on the progress of 6G and low-orbit satellite communication technology. Professors Jang Kyeong Hee of the 6G Forum and Lee Moon Gyu of the Satellite Communication Forum provided thorough overviews of the research and development (R&D) efforts within their respective fields.",Government,,2024.0,KR,2024-07-12
European Space Agency (ESA),6G LINO,PROJECT,TESAT Selected by ESA for 6G Satellite Precursor,Association,,2024.0,,2024-07-02
TESAT,6G LINO,PROJECT,TESAT Selected by ESA for 6G Satellite Precursor,Commercial,,2024.0,DE,2024-07-02
US Department of State,Sweden-US Cooperation,MOU,"The Swedish and US governments have signed a bilateral deal to work together on developing 6G technologies. The two stated that international cooperation, including partnerships with the private sector, is crucial for developing open and interoperable technologies like open radio access networks and sustainable 6G. They added that this approach aims to ensure that 6G is resilient, secure, safe, trustworthy, inclusive, and sustainable, as highlighted in the Joint Statement Endorsing Principles for 6G and the US-EU Trade and Technology Council’s 6G Vision. 

The agreement will see the countries identifying synergies and exploring possibilities to create a joint ecosystem for research and development in 6G technology and applications by making use of new spectrum allocations by future wireless services/technologies and introducing new technologies in existing frequency bands.  The two will also encourage global harmonization of frequency bands for 6G and next generations wireless services.   

The two will explore possibilities for long-term research collaboration, including potential funding for relevant bilateral research collaboration, in many areas related to 6G and beyond, including: resiliency, security, trust and privacy; machine learning and AI-enabled technologies; efficient use of communication and computing resources, materials, cybersecurity, edge computing, algorithms, distributed intelligence, and data resources; attaining sustainability; addressing spectrum issues; and encouraging the joint use and establishment of test beds, open architectures, advanced micro-electronics, dynamic spectrum management, optical science and network and computer science. 

In April, the Swedish Research Council and Vinnova signed a five-year declaration of intent with the US National Science Foundation (NSF), to facilitate research and innovation collaborations between Sweden and US and 6G was already identified as one of the key technology areas.  

At the time, Swedish Government said it was also making a specific investment in research and innovation in 6G and was giving the Swedish Research Council and Vinnova SEK 390 million to distribute within the area during 2024–2026, of which the Swedish Research Council was awarded SEK 140 million. ",Government,,2024.0,US,2024-08-07
Ministry for Foreign Affairs (Sweden),Sweden-US Cooperation,MOU,"The Swedish and US governments have signed a bilateral deal to work together on developing 6G technologies. The two stated that international cooperation, including partnerships with the private sector, is crucial for developing open and interoperable technologies like open radio access networks and sustainable 6G. They added that this approach aims to ensure that 6G is resilient, secure, safe, trustworthy, inclusive, and sustainable, as highlighted in the Joint Statement Endorsing Principles for 6G and the US-EU Trade and Technology Council’s 6G Vision. 

The agreement will see the countries identifying synergies and exploring possibilities to create a joint ecosystem for research and development in 6G technology and applications by making use of new spectrum allocations by future wireless services/technologies and introducing new technologies in existing frequency bands.  The two will also encourage global harmonization of frequency bands for 6G and next generations wireless services.   

The two will explore possibilities for long-term research collaboration, including potential funding for relevant bilateral research collaboration, in many areas related to 6G and beyond, including: resiliency, security, trust and privacy; machine learning and AI-enabled technologies; efficient use of communication and computing resources, materials, cybersecurity, edge computing, algorithms, distributed intelligence, and data resources; attaining sustainability; addressing spectrum issues; and encouraging the joint use and establishment of test beds, open architectures, advanced micro-electronics, dynamic spectrum management, optical science and network and computer science. 

In April, the Swedish Research Council and Vinnova signed a five-year declaration of intent with the US National Science Foundation (NSF), to facilitate research and innovation collaborations between Sweden and US and 6G was already identified as one of the key technology areas.  

At the time, Swedish Government said it was also making a specific investment in research and innovation in 6G and was giving the Swedish Research Council and Vinnova SEK 390 million to distribute within the area during 2024–2026, of which the Swedish Research Council was awarded SEK 140 million. ",Government,,2024.0,,2024-08-07
NorthEastern University,ORAN and 6G MoU,MOU,Tech Mahindra and Northeastern University collaborate to drive innovation in ORAN and 6G connectivity solutions,Academia,,2024.0,US,2024-08-08
Tech Mahindra,ORAN and 6G MoU,MOU,Tech Mahindra and Northeastern University collaborate to drive innovation in ORAN and 6G connectivity solutions,Commercial,,2024.0,IN,2024-08-08
C-DOT,C-DoT 6G R&D,PROJECT,Two Indian institutes signed the 6G collaboration agreement with the Center for Development of Telematics (C-DOT) ,Government,Cell-free Access Points,2024.0,IN,2024-08-08
Indian Institute of Technology Roorkee (IIT Roorkee),C-DoT 6G R&D,PROJECT,Two Indian institutes signed the 6G collaboration agreement with the Center for Development of Telematics (C-DOT) ,Academia,Cell-free Access Points,2024.0,IN,2024-08-08
Indian Institute of Technology Mandi (IIT Mandi),C-DoT 6G R&D,PROJECT,Two Indian institutes signed the 6G collaboration agreement with the Center for Development of Telematics (C-DOT) ,Academia,Cell-free Access Points,2024.0,IN,2024-08-08
Telecom Technology Development Fund,C-DoT 6G R&D,PROJECT,Two Indian institutes signed the 6G collaboration agreement with the Center for Development of Telematics (C-DOT) ,Government,Cell-free Access Points,2024.0,IN,2024-08-08
Korea Telecom,Full-duplex 6G,PROJECT,"South Korean operator KT and LG Electronics are jointly developing 6G transmission and full-duplex communication technologies, and will collaborate on the global standardization for next-generation cellular systems.",Commercial,Wideband Full-duplex,2024.0,KR,2024-08-13
LG Electronics,Full-duplex 6G,PROJECT,"South Korean operator KT and LG Electronics are jointly developing 6G transmission and full-duplex communication technologies, and will collaborate on the global standardization for next-generation cellular systems.",Commercial,Wideband Full-duplex,2024.0,KR,2024-08-13
S. Korea Ministry of Science and ICT,6G Society,PROJECT,‘6G Society’ will promote communication and interchange between the satellite communication field and the 6G mobile communication field,Government,,2024.0,KR,2024-07-04
6G Forum,6G Society,PROJECT,‘6G Society’ will promote communication and interchange between the satellite communication field and the 6G mobile communication field,Association,,2024.0,KR,2024-07-04
Satellite Communications Forum,6G Society,PROJECT,‘6G Society’ will promote communication and interchange between the satellite communication field and the 6G mobile communication field,Association,,2024.0,KR,2024-07-04
SoftBank Group,AI-RAN & 6G Research,MOU,SoftBank and Nokia Partner on AI-RAN and 6G Research,Commercial,AI-RAN,2024.0,JP,2024-09-11
Nokia,AI-RAN & 6G Research,MOU,SoftBank and Nokia Partner on AI-RAN and 6G Research,Commercial,AI-RAN,2024.0,FI,2024-09-11
Finland Ministry of Education & Culture,Finland 6G Working Group,PROJECT,"Finland’s Ministry of Transport and Communications confirmed that a specific working group has started its work to promote 6G communication technologies.

In a release, the ministry noted that the main goal of the working group is to prepare Finland’s national 6G roadmap and promote cooperation and information exchange in the field of next-generation wireless network technologies.

The Finnish government added that the working group has representation from the state administration as well as stakeholders from the research and business fields.

The working group will prepare Finland’s position and goals related to radio frequencies needed for next-generation mobile communications, as well as help to ensure network security in coordination with the work of Finland’s National Cyber Security Advisory Board.",Government,,2024.0,FI,2024-08-28
Finland Ministry of Labor and the Economy,Finland 6G Working Group,PROJECT,"Finland’s Ministry of Transport and Communications confirmed that a specific working group has started its work to promote 6G communication technologies.

In a release, the ministry noted that the main goal of the working group is to prepare Finland’s national 6G roadmap and promote cooperation and information exchange in the field of next-generation wireless network technologies.

The Finnish government added that the working group has representation from the state administration as well as stakeholders from the research and business fields.

The working group will prepare Finland’s position and goals related to radio frequencies needed for next-generation mobile communications, as well as help to ensure network security in coordination with the work of Finland’s National Cyber Security Advisory Board.",Government,,2024.0,FI,2024-08-28
Finland Ministry of Foreign Affairs,Finland 6G Working Group,PROJECT,"Finland’s Ministry of Transport and Communications confirmed that a specific working group has started its work to promote 6G communication technologies.

In a release, the ministry noted that the main goal of the working group is to prepare Finland’s national 6G roadmap and promote cooperation and information exchange in the field of next-generation wireless network technologies.

The Finnish government added that the working group has representation from the state administration as well as stakeholders from the research and business fields.

The working group will prepare Finland’s position and goals related to radio frequencies needed for next-generation mobile communications, as well as help to ensure network security in coordination with the work of Finland’s National Cyber Security Advisory Board.",Government,,2024.0,FI,2024-08-28
